asset,market,year,month,block,hours_block,rated_mw,forward_hub,avg_generation_MW,predicted_price,predicted_revenue,P50,P75
Mantero,MISO,2027,11,Peak,352,71.4,43.53,20.788189484126985,34.30594830138865,251031.81091011994,250415.40525380475,225037.63445107883
Mantero,MISO,2027,11,OffPeak,368,71.4,32.74,20.355340277777778,23.906573414594327,179078.52871654555,180778.90589986823,161892.82963781877
Mantero,MISO,2027,12,Peak,368,71.4,50.65,23.389171626984133,39.1242871835704,336751.1577209393,338067.3620019356,305243.4317189992
Mantero,MISO,2027,12,OffPeak,376,71.4,37.75,21.81695800961894,29.84535433392073,244826.70069929055,243741.2621990951,220572.29935154185
Mantero,MISO,2028,1,Peak,336,71.4,83.84,17.857431457431456,44.23871799880302,265436.5978078968,266937.6871431293,237947.292767949
Mantero,MISO,2028,1,OffPeak,408,71.4,70.75,17.770774976657332,32.52446561192967,235817.86352725775,234776.83119310864,211259.71608951985
Mantero,MISO,2028,2,Peak,336,71.4,81.57,26.79023313492063,31.04404826865257,279443.569631161,277134.6745627098,250173.3044994312
Mantero,MISO,2028,2,OffPeak,360,71.4,68.58,24.380378787878787,24.605135385381406,215957.70749614987,215297.93901768792,194041.71029404743
Mantero,MISO,2028,3,Peak,368,71.4,49.16,23.398632677708765,28.802582082752206,248010.3021031859,250731.60642319376,225454.16131238543
Mantero,MISO,2028,3,OffPeak,376,71.4,40.51,25.841988249200387,23.833403442760172,231579.35192155393,233309.43471733312,208179.05394886096
Mantero,MISO,2028,4,Peak,320,71.4,47.9,14.665607413419915,33.253374066006096,156057.89735156624,156120.71672810952,141284.66727148846
Mantero,MISO,2028,4,OffPeak,400,71.4,32.74,13.335260114734298,24.882327122501174,132724.92177538454,131965.82716397895,118059.5794871822
Mantero,MISO,2028,5,Peak,368,71.4,46.66,21.474260461760462,39.31232737790401,310666.76194936753,309054.09852461086,280546.0035881681
Mantero,MISO,2028,5,OffPeak,376,71.4,33.94,22.408723489395758,24.850375917553457,209381.31615654205,208259.05519045115,187521.09275518707
Mantero,MISO,2028,6,Peak,352,71.4,53.5,19.648143939393936,46.354501234709076,320594.529199429,317494.9206872515,284834.8587299207
Mantero,MISO,2028,6,OffPeak,368,71.4,39.59,23.190336956521737,24.84764767957526,212050.91859399315,209373.78487848575,189417.0700953221
Mantero,MISO,2028,7,Peak,336,71.4,73.6,14.046534090909091,54.0642212216651,255163.41530015937,256360.0380857428,232492.4643256684
Mantero,MISO,2028,7,OffPeak,408,71.4,50.28,20.908227441920165,31.387133024670455,267749.72094008233,270684.96745079523,243120.42299270697
Mantero,MISO,2028,8,Peak,368,71.4,97.57,15.834547924901187,55.823322177641984,325288.84188845824,329996.9637693866,294883.1752409127
Mantero,MISO,2028,8,OffPeak,376,71.4,56.06,20.628111883051094,31.385866149425205,243434.11558728025,242609.23644825793,216927.20367145882
Mantero,MISO,2028,9,Peak,336,71.4,59.14,17.808492063492064,45.91146812067307,274718.3092584925,272287.11183110526,245801.63729358144
Mantero,MISO,2028,9,OffPeak,384,71.4,42.5,14.877815972222223,29.845386199229093,170509.11878094,171663.0382096438,154067.80570464418
Mantero,MISO,2028,10,Peak,352,71.4,46.49,21.35827510351967,38.236892880639324,287469.2751914746,287547.23116064083,255807.31608048844
Mantero,MISO,2028,10,OffPeak,392,71.4,38.32,18.973457964746185,25.53843332538776,189944.5373444094,189814.57599942037,171431.05646821778
Mantero,MISO,2028,11,Peak,352,71.4,44.12,20.788189484126985,34.30594830138865,251031.81091011994,249311.99459157028,221884.67943923158
Mantero,MISO,2028,11,OffPeak,368,71.4,38.15,20.355340277777778,23.906573414594327,179078.52871654555,178311.87715683383,160731.8834727207
Mantero,MISO,2028,12,Peak,336,71.4,49.49,23.389171626984133,39.1242871835704,307468.4483539011,307563.75963263353,277432.6361388832
Mantero,MISO,2028,12,OffPeak,408,71.4,42.35,21.81695800961894,29.84535433392073,265663.0156524216,268301.33704007964,238777.36324170907
Mantero,MISO,2029,1,Peak,368,71.4,87.82,17.857431457431456,44.23871799880302,290716.2737896012,287984.41133647074,263593.72007387935
Mantero,MISO,2029,1,OffPeak,376,71.4,64.29,17.770774976657332,32.52446561192967,217322.34481923754,216940.70960172976,193911.90676848358
